"verb","noun","plural","provenance","kind","obs"
"existir","existente","existentes","enwiktionary:pt","agent",""
"existir","existência","existências","enwiktionary:pt",NA,""
"existir","existencialismo","existencialismos","enwiktionary:pt",NA,""
"exonerar","exonerados",NA,NA,"agent",""
"exonerar","exoneração","exonerações","nomlex",NA,""
"expandir","expansão","expansões","nomlex",NA,""
"expatriar","expatriado",NA,NA,"agent",""
"expatriar","expatriação","expatriações","nomage: expatriation",NA,""
"expectar","expectativa","expectativas","nomlex",NA,""
"expedir","expedição","expedições","nomage: expédition",NA,""
"experienciar","experiência","experiências","nomlex",NA,""
"experimentar","experimentador",NA,NA,"agent",""
"experimentar","experimentação","experimentações","nomlex",NA,""
"experimentar","experimento","experimentos","nomlex",NA,""
"expiar","expiação","expiações","nomlex",NA,""
"expirar","expiração","expirações","nomlex",NA,""
"explanar","explanação","explanações","framenet",NA,""
"explicar","explicação","explicações","nomlex",NA,""
"explodir","explosão","explosões","nomlex",NA,""
"explorar","explorador","exploradores","enwiktionary:pt","agent",""
"explorar","exploração","explorações","nomlex",NA,""
"expor","expositor","expositores",NA,"agent",""
"expor","exposição","exposições","nomlex",NA,""
"exportar","exportador","exportadores","nomlex","agent",""
"exportar","exportação","exportações","nomage: exportation",NA,""
"expressar","expressão","expressões","framenet",NA,""
"exprimir","expressão","expressões","nomlex",NA,""
"expropriar","expropriador","expropriadores","","agent",""
"expropriar","expropriação","expropriações","enwiktionary:en",NA,""
"expulsar","expulsão","expulsões","nomlex",NA,""
"expurgar","expurgação","expurgações","enwiktionary:en",NA,""
"expurgar","expurgo","expurgos","enwiktionary:en",NA,""
"exterminar","exterminador",NA,NA,"agent",""
"exterminar","extermínio","extermínios","framenet",NA,""
"extinguir","extinção",NA,"dhbb",NA,NA
"extorquir","extorquista",NA,NA,"agent",""
"extorquir","extorsão","extorsões","nomlex",NA,""
"extraditar","extraditor",NA,NA,"agent",""
"extraditar","extradição","extradições","nomlex",NA,""
"extrair","extractor",NA,NA,"agent",""
"extrair","extração","extrações","nomlex",NA,""
"extrapolar","extrapolante",NA,NA,"agent",""
"extrapolar","extrapolação","extrapolações","nomlex",NA,""
"extratar","extrator","extratores","","agent; lex",""
"extratar","extrato","extratos","enwiktionary:en",NA,""
"extrudir","extrusão","extrusões","nomlex",NA,""
"fabricar","fabricante","fabricantes","nomlex","agent",""
"fabricar","fábrica","fábricas","nomlex",NA,""
"fabricar","fabricação","fabricações","nomlex",NA,""
"fadigar","fadiga","fadigas","enwiktionary:en",NA,""
"falar","falante","falantes","nomlex","agent",""
"falar","fala","falas","nomlex",NA,""
"falecer","falecimento","falecimentos","nomlex",NA,""
"falhar","falha","falhas","framenet",NA,""
"falsear","falsidade","falsidades","framenet",NA,""
"falsear","falso","falsos","framenet",NA,""
"falsificar","falsificante",NA,NA,"agent",""
"falsificar","falsificação","falsificações","nomlex",NA,""
"faltar","falta","faltas","nomlex",NA,""
"fascinar","fascinação","fascinações","nomlex",NA,""
"fatigar","fatiga","fatigas","enwiktionary:en",NA,""
"faturar","faturamento","faturamentos","nomage: facturation",NA,""
"faturar","fatura",NA,"openWordnet-PT",NA,NA
"fazer","fazedor","fazedores","framenet","agent",""
"fazer","feitura",NA,"openWordnet-PT",NA,NA
"fechar","fecho",NA,NA,"agent",""
"fechar","fechamento","fechamentos","nomage: clôture",NA,""
"fechar","fechadura",NA,"openWordnet-PT",NA,NA
"federar","federação","federações","nomlex",NA,""
"fender","fenda","fendas","enwiktionary:en",NA,""
"ferrar","ferradura",NA,"openWordnet-PT",NA,NA
"fertilizar","fertilizante","fertilizantes","nomlex","agent",""
"ferver","fervedor","fervedores","nomlex","agent; lex",""
"ferver","fervura",NA,"openWordnet-PT",NA,NA
"festejar","festejador","festejadores","","agent",""
"festejar","festejo","festejos","nomlex",NA,""
"figurar","figurante",NA,NA,"agent",""
"figurar","figuração","figurações","nomage: figuration",NA,""
"filiar","afiliado",NA,NA,"agent",""
"filiar","filiação","filiações",NA,NA,""
"filmar","filmadora",NA,NA,"agent",""
"filmar","filme","filmes","nomlex","lex",""
"finalizar","fim",NA,"dhbb",NA,NA
"finalizar","final",NA,"dhbb",NA,NA
"finalizar","finalidade",NA,"dhbb",NA,NA
"financiar","financiador","financiadores","nomlex","agent",""
"financiar","financiamento","financiamentos","nomage: financement",NA,""
"fiscalizar","fiscal","fiscais",NA,"agent",""
"fiscalizar","fiscalização","fiscalizações","nomage: fiscalisation",NA,""
"fixar","fixador",NA,NA,"agent",""
"fixar","fixação","fixações","nomage: fixation","lex",""
"fluorar","fluoração","fluorações","enwiktionary:en",NA,""
"flutuar","flutuante",NA,NA,"agent",""
"flutuar","flutuador","flutuações","enwiktionary:en","agent; lex",""
"flutuar","flutuação","flutuações","nomlex",NA,""
"forçar","força",NA,"dhbb",NA,NA
"formar","formação","formações","nomlex",NA,""
"formar","formatura",NA,"openWordnet-PT",NA,NA
"formar,","forma","formas","framenet",NA,""
"formular","formulação","formulações","nomlex",NA,""
"formular","formulário","formulários","framenet",NA,""
"formular","fórmula",NA,"dhbb",NA,NA
"fornecer","fornecedor","fornecedores","nomlex","agent",""
"fornecer","fornecimento","fornecimentos","nomage: approvisionnement",NA,""
"fortalecer","fortalecimento",NA,"dhbb",NA,NA
"fosfatar","fosfatador","fosfatadores","","agent",""
"fosfatar","fosfatação","fostatações","enwiktionary:en",NA,""
"fosforescer","fosforescência","fosforescências","enwiktionary:en",NA,""
"fracassar","fracasso","fracassos","framenet",NA,""
"fracionar","fracionamento","fracionamentos","nomlex",NA,""
"fragmentar","fragmentação","fragmentações","nomage: émiettement",NA,""
"franquear","franqueador",NA,NA,"agent",""
"franquear","franqueado","franqueados","nomlex",NA,""
"franquear","franquia","franquias",NA,NA,""
"franquear","franquização","franquizações","nomage: francisation",NA,""
"fraturar","fractura",NA,"openWordnet-PT",NA,NA
"fraudar","fraude",NA,"dhbb",NA,NA
"freiar","freagem","freagens","nomage: freinage",NA,""
"frequentar","frequentador",NA,NA,"agent",""
"frequentar","frequentação","frequentações","nomage: fréquentation",NA,""
"fretar","fretista","frentistas",NA,"agent",""
"fretar","fretamento","fretamentos","nomlex",NA,""
"frisar","friso","frisos","enwiktionary:en",NA,""
"fritar","fritura",NA,"openWordnet-PT",NA,NA
"frustrar","frustração","frustrações","nomlex",NA,""
"fugir","fugitivo","fugitivos","nomage: emballement","agent",""
"fugir","fugida","fugidas","framenet",NA,""
"funcionar","funcionario",NA,NA,"agent",""
"funcionar","funcionamento","funcionamentos","nomage: fonctionnement",NA,""
"funcionar","função",NA,"dhbb",NA,NA
"funcionar","funcionário",NA,"dhbb",NA,NA
"fundar","fundador","fundadores","nomlex","agent",""
"fundar","fundação","fundações","nomage: fondement",NA,""
"fundar","fundamento","fundamentos","nomage: fondement",NA,""
"fundir","fusão","fusões","nomlex",NA,""
"furtar","furto","furtos","framenet",NA,""
"ganhar","ganhador","ganhadores","","agent",""
"ganhar","ganho","ganhos","nomlex",NA,""
"garantir","garantia","garantias","nomlex",NA,""
"gastar","gasto","gastos","nomage: gaspillage",NA,""
"generalizar","generalização","generalizações","nomlex",NA,""
"gerar","gerador",NA,NA,"agent",""
"gerar","geração","gerações","nomlex","lex",""
"gerenciar","gerente","gerentes","nomlex","agent",""
"gerenciar","gerência","gerências","nomlex",NA,""
"gerir","gestão",NA,"dhbb",NA,NA
"girar","girador",NA,NA,"agent",""
"girar","giratória",NA,NA,"agent",""
"girar","giração","girações","nomlex",NA,""
"globalizar","globalização","globalizações","nomage: mondialisation",NA,""
"golpear","golpe",NA,"dhbb",NA,NA
"gostar","gosto","gostos","framenet",NA,""
"governar","governador","governadores","framenet","agent",""
"governar","governante","governantes","framenet","agent",""
"governar","governamento","governamentos","nomlex",NA,""
"governar","governância","governâncias","nomlex",NA,""
"governar","governo","governos","framenet",NA,""
"graduar","graduação","graduações","nomlex",NA,""
"granizar","granizo","granizos","framenet",NA,""
"gravar","gravador","gravadores","nomlex","agent; lex",""
"gravar","gravação","gravações","nomlex","lex",""
"gravar","gravura",NA,"openWordnet-PT",NA,NA
"guerrear","guerreiro","guerreiros",NA,"agent",""
"guerrear","guerra","guerras","nomlex",NA,""
"guiar","guia","guias","nomlex","agent; other",""
"habitar","habitante","habitantes","framenet","agent",""
"harmonizar","harmonia","harmonias",NA,NA,""
"harmonizar","harmonização","harmonizações","nomage: harmonisation",NA,""
"herdar","herança","heranças","nomlex",NA,""
"herdar","herdeiro","herdeiros","nomlex",NA,""
"hesitar","hesitação","hesitações","nomlex",NA,""
"hidrogenar","hidrogenação","hidrogenações","enwiktionary:en",NA,""
"hipotecar","hipoteca","hipotecas","nomlex",NA,""
"homenagear","homenageado","homenageados","nomlex","agent",""
"homogeneizar","homogeneização","homogeneizações","enwiktionary:en",NA,""
"homologar","homologante",NA,NA,"agent",""
"homologar","homologação","homologações","nomlex",NA,""
"hospitalizar","hospitalização","hospitalizações","nomlex",NA,""
"humilhar","humilhação","humilhações","nomlex",NA,""
"identificar","identificação","identificações","nomlex",NA,""
"ignorar","ignorância","ignorâncias","nomlex",NA,""
"ilhar","ilhamento","ilhamentos","nomlex",NA,""
"iludir","ilusão","ilusões","nomlex",NA,""
"iluminar","iluminador",NA,NA,"agent",""
"iluminar","iluminado","iluminados","framenet","agent",""
"iluminar","iluminação","iluminações","nomlex",NA,""
"iluminar","iluminura",NA,"openWordnet-PT",NA,NA
"ilustrar","ilustrador",NA,NA,"agent",""
"ilustrar","ilustração","ilustrações","nomlex",NA,""
"imaginar","imaginador",NA,NA,"agent",""
"imaginar","imaginação","imaginações","nomage: imagination",NA,""
"imaginar","imagem",NA,"dhbb",NA,NA
"imigrar","imigrante",NA,NA,"agent",""
"imigrar","imigração","imigrações","nomlex",NA,""
"imitar","imitador",NA,NA,"agent",""
"imitar","imitação","imitações","nomlex",NA,""
"impactar","impacto","impactos","nomlex",NA,""
"impedir","impedimento","impedimentos","nomlex",NA,""
"implantar","implantação","implantações","nomage: implantation",NA,""
"implementar","implementador",NA,NA,"agent",""
"implementar","implementação","implementações","nomlex",NA,""
"implicar","implicação","implicações","nomage: implication",NA,""
"implodir","implosão","implosões","nomage: implosion",NA,""
"impor","imposição","imposições","nomlex",NA,""
"importar","importador",NA,NA,"agent",""
"importar","importação","importações","nomage: importation",NA,""
"impressionar","impressão","impressões","nomlex",NA,""
"imprimir","impressora","impressoras","nomlex",NA,""
"improvisar","improvisador",NA,NA,"agent",""
"improvisar","improvisação","improvisações","nomage: improvisation",NA,""
"impugnar","impugnação","impugnações","nomlex",NA,""
"impulsionar","impulsão","impulsões","nomage: impulsion",NA,""
"inanir","inanição","inanições","nomlex",NA,""
"inaugurar","inaugurador",NA,NA,"agent",""
"inaugurar","inauguração","inaugurações","enwiktionary:pt",NA,""
"incentivar","incentivo",NA,"dhbb",NA,NA
"inchar","inchação","inchações","nomage: gonflement",NA,""
"inchar","inchaço","inchaços","nomage: gonflement",NA,""
"incitar","incitador",NA,NA,"agent",""
"incitar","incitação","incitações","nomage: incitation",NA,""
"incitar","incitamento","incitamentos","nomlex",NA,""
"inclinar","inclinação","inclinações","nomlex",NA,""
"incluir","inclusão","inclusões","nomlex",NA,""
"incubar","incubação","incubações","nomlex",NA,""
"incumbir","incumbente",NA,NA,"agent",""
"incumbir","incumbência","incumbências","nomlex",NA,""
"indenizar","indenizador",NA,NA,"agent",""
"indenizar","indenização","indenizações","nomage: indemnisation",NA,""
"indexar","indexador",NA,NA,"agent",""
"indexar","indexação","indexações","nomlex",NA,""
"indexar","índice","índices","nomlex",NA,""
"indicar","indicação","indicações","nomlex",NA,""
"indignar","indignação","indignações","nomage: indignation",NA,""
"induzir","indução","induções","nomlex",NA,""
"induzir","induzimento","induzimentos","nomlex",NA,""
"infectar","infecção","infecções","nomlex",NA,""
"infestar","infestação","infestações","nomlex",NA,""
"infiltrar","infiltrador",NA,NA,"agent",""
"infiltrar","infiltração","infiltrações","nomlex",NA,""
"inflacionar","inflação","inflações","nomlex",NA,""
"inflamar","inflamação","inflamações","nomlex",NA,""
"inflexionar","inflexão","inflexões","nomage: inflexion",NA,""
"influenciar","influência","influências","nomlex",NA,""
"informar","informante","informantes",NA,"agent",""
"informar","informação","informações","nomage: information",NA,""
"informatizar","informatização","informatizações","nomage: informatisation",NA,""
"infringir","infrator","infratores","enwiktionary:pt","agent",""
"infringir","infração","infrações","enwiktionary:pt",NA,""
"infringir","infringimento","infringimentos","nomlex",NA,""
"infundir","infusor",NA,NA,"agent",""
"infundir","infusão","infusões","nomlex",NA,""
"inibir","inibição","inibições","nomlex",NA,""
"iniciar","iniciante","iniciantes",NA,"agent",""
"iniciar","iniciação","iniciações","nomlex",NA,""
"iniciar","início",NA,"dhbb",NA,NA
"iniciar","iniciativa",NA,"dhbb",NA,NA
"injetar","injeção","injeções","nomlex",NA,""
"injuriar","injúria","injúrias","nomlex",NA,""
"inovar","inovador","inovadores",NA,"agent",""
"inovar","inovação","inovações","nomlex",NA,""
"inquirir","inquisitor",NA,NA,"agent",""
"inquirir","inquérito","inquéritos","nomlex",NA,""
"inscrever","inscrição","inscrições","nomlex",NA,""
"inserir","inserção","inserções","enwiktionary:en",NA,""
"insistir","insistência","insistências","nomage: insistance",NA,""
"inspecionar","inspetor","inspetores",NA,"agent",""
"inspecionar","inspeção","inspeções","nomlex",NA,""
"inspirar","inspirador",NA,NA,"agent",""
"inspirar","inspiração","inspirações","framenet",NA,""
"instalar","instalação","instalações","nomlex",NA,""
"instaurar","instauração","instaurações","nomage: instauration",NA,""
"instituir","instituição","instituições","nomage: institution",NA,""
"instruir","instrutor","instrutores",NA,"agent",""
"instruir","instrução","instruções","nomlex",NA,""
"insultar","insulto","insultos","nomlex",NA,""
"integrar","integrante",NA,NA,"agent",""
"integrar","integração","integrações","nomlex",NA,""
"intensificar","intensificação","intensificações","nomlex",NA,""
"intentar","intenção","intenções","nomlex",NA,""
"interagir","interação","interações","nomlex",NA,""
"interditar","interditor","interditores","","agent",""
"interditar","interdição","interdições","nomage: interdiction",NA,""
"interditar","interdito","interditos","enwiktionary:en",NA,""
"interessar","interesse",NA,"dhbb",NA,NA
"internacionalizar","internacionalização","internacionalizações","nomage: internationalisation",NA,""
"internar","internado","internados","nomlex","agent",""
"interpretar","interprete","interpretes",NA,"agent",""
"interpretar","interpretação","interpretações","nomlex",NA,""
"interrogar","interrogador",NA,NA,"agent",""
"interrogar","interrogatório",NA,NA,"agent",""
"interrogar","interrogação","interrogações","nomage: interrogation",NA,""
"interromper","interruptor",NA,NA,"agent",""
"interromper","interrupção","interrupções","nomlex","lex",""
"intersectar","interseção","intersecções","nomlex",NA,""
"interver","interventoria",NA,"dhbb",NA,NA
"intervir","interventor",NA,NA,"agent",""
"intervir","intervenção","intervenções","nomage: intervention",NA,""
"intimidar","intimidação","intimidações","nomage: intimidation",NA,""
"intoxicar","intoxicante",NA,NA,"agent",""
"intoxicar","intoxicação","intoxicações","nomage: intoxication",NA,""
"introduzir","introdução","introduções","nomlex",NA,""
"intrometer","intromissão","intromissões","nomlex",NA,""
"intuir","intuição","intuições","nomlex",NA,""
"inundar","inundação","inundações","nomage: inondation",NA,""
"invadir","invasor","invadores",NA,"agent",""
"invadir","invasão","invasões","nomlex",NA,""
"inventar","inventor","inventores","nomlex","agent",""
"inventar","invenção","invenções","nomlex",NA,""
"inverter","inversão","inversões","nomage: inversion",NA,""
"investigar","investigador","investigadores",NA,"agent",""
"investigar","investigação","investigações","nomlex",NA,""
"investir","investidor","investidores",NA,"agent",""
"investir","investimento","investimentos","nomage: investissement",NA,""
"investir","investidura",NA,"openWordnet-PT",NA,NA
"involuir","involução","involuções","nomlex",NA,""
"irradiar","irradiação","irradiações","nomlex",NA,""
"irritar","irritante","irritantes",NA,"agent",""
"irritar","irritação","irritações","nomlex",NA,""
"isentar","isenção","isenções","nomlex",NA,""
"isolar","isolação","isolações","nomlex",NA,""
"isolar","isolamento","isolamentos","nomlex",NA,""
"jogar","jogador","jogadores","nomlex","agent",""
"jogar","jogo","jogos","enwiktionary:en",NA,""
"judicar","judicatura",NA,"openWordnet-PT",NA,NA
"julgar","julgador","julgadores","nomlex","agent",""
"julgar","julgamento","julgamentos","nomlex",NA,""
"julgar","juiz",NA,"dhbb",NA,NA
"juntar","junção","junções","nomlex",NA,""
"juntar","juntura",NA,"openWordnet-PT",NA,NA
"juntar","junta",NA,"dhbb",NA,NA
"jurar","juramento","juramentos","framenet",NA,""
"jurar","jura",NA,"openWordnet-PT",NA,NA
"justificar","justificação","justificações","nomlex",NA,""
"justificar","justificativa","justificativas","nomlex",NA,""
"labutar","labuta","labutas","nomlex",NA,""
"lacrimejar","lágrima","lágrimas","nomage: déchirure",NA,""
"lamentar","lamentador",NA,NA,"agent",""
"lamentar","lamentação","lamentações","nomlex",NA,""
"lançar","lançador",NA,NA,"agent",""
"lançar","lançamento","lançamentos","nomlex",NA,""
"lanchar","lanche","lanches","enwiktionary:en",NA,""
"laquear","laqueadura",NA,"openWordnet-PT",NA,NA
"lascar","lascador","lascadores","","agent",""
"lascar","lasca","lascas","enwiktionary:en",NA,""
"lavar","lavadura",NA,"openWordnet-PT",NA,NA
"lavrar","lavrador","lavradores","nomlex","agent",""
"lavrar","lavratura",NA,"openWordnet-PT",NA,NA
"legalizar","legalização","legalizações","enwiktionary:pt",NA,""
"legalizar","legalidade",NA,"dhbb",NA,NA
"legendar","legenda",NA,"dhbb",NA,NA
"legislar","legislador","legisladores",NA,"agent",""
"legislar","legislação","legislações","nomlex",NA,""
"legislar","legislatura",NA,"openWordnet-PT",NA,NA
"leiloar","leilão","leilões","framenet",NA,""
"lembrar","lembrança","lembranças","nomlex",NA,""
"lembrar","lembrete","lembretes","nomlex",NA,""
"ler","leitor","leitores","nomlex","agent",""
"ler","leitura","leituras","nomlex",NA,""
"lesar","lesura",NA,"openWordnet-PT",NA,NA
"levantar","levante",NA,"dhbb",NA,NA
"liberar","liberador",NA,NA,"agent",""
"liberar","liberação","liberações","nomage: déclenchement",NA,""
"liberar","liberalização","liberalizações","nomlex",NA,""
"liberar","liberdade",NA,"dhbb",NA,NA
"libertar","libertador","libertadores",NA,"agent",""
"libertar","libertação","libertações","nomlex",NA,""
"licenciar","licenciado","licenciados","nomlex","agent",""
"licenciar","licenciamento","licenciamentos","nomage: licenciement",NA,""
"licenciar","licença",NA,"dhbb",NA,NA
"liderar","líder","líderes","nomlex","agent",""
"liderar","liderança","lideranças","framenet",NA,""
"ligar","ligação","ligações","nomlex",NA,""
"ligar","ligamento","ligamentos","nomlex",NA,""
"ligar","ligatura",NA,"openWordnet-PT",NA,NA
"limitar","limitador",NA,NA,"agent",""
"limitar","limitação","limitações","nomlex",NA,""
"limitar","limite","limites","nomage: plafonnement",NA,""
"linchar","linchador","linchadores","","agent",""
"linchar","linchagem","linchagens","enwiktionary:pt",NA,""
"linchar","linchamento","linchamentos","enwiktionary:pt",NA,""
"liquidar","liquidação","liquidações","nomlex",NA,""
"lisonjear","lisonjeador",NA,NA,"agent",""
"lisonjear","lisonja","lisonjas","nomlex",NA,""
"listar","lista","listas","nomlex",NA,""
"litigar","litigante",NA,NA,"agent",""
"litigar","litigação","litigações","nomlex",NA,""
"localizar","localizador","localizadores",NA,"agent",""
"localizar","localização","localizações","nomage: localisation",NA,""
"locar","locatário","locatários","nomlex","agent",""
"locar","locação","locações","nomage: location",NA,""
"lotar","lotação","lotações","nomage: bradage",NA,""
"lotear","loteamento","loteamentos","nomlex",NA,""
"louvar","louvador",NA,NA,"agent",""
"louvar","louvor","louvores","framenet",NA,""
"lubrificar","lubrificante","lubrificantes","enwiktionary:en",NA,""
"lucrar","lucro","lucros","framenet",NA,""
"lutar","lutador","lutadores","nomlex","agent",""
"lutar","luta","lutas","nomlex",NA,""
"luxar","luxação","luxações","nomage: bouleversement",NA,""
"machucar","machucadura",NA,"openWordnet-PT",NA,NA
"magistrar","magistratura",NA,"openWordnet-PT",NA,NA
"magnificar","magnificação","magnificações","nomlex",NA,""
"mandar","mandante",NA,NA,"agent",""
"mandar","mandato","mandatos","nomlex",NA,""
"manifestar","manifestante",NA,NA,"agent",""
"manifestar","manifestação","manifestações","nomlex",NA,""
"manifestar","manifesto",NA,"dhbb",NA,NA
"manipular","manipulador",NA,NA,"agent",""
"manipular","manipulação","manipulações","nomlex",NA,""
"manobrar","manobreiro",NA,NA,"agent",""
"manobrar","manobra","manobras","nomlex",NA,""
"manter","mantenedor",NA,NA,"agent",""
"manter","mantença","mantenças","nomlex",NA,""
"manter","manutenção",NA,"dhbb",NA,NA
"manufaturar","manufatura","manufaturas","nomlex",NA,""
"maquinar","maquinação","maquinações","nomage: machination",NA,""
"marchar","marchador","marchadores","","agent",""
"marchar","marcha","marchas","enwiktionary:en",NA,""
"marginalizar","marginalização","marginalizações","nomage: marginalisation",NA,""
"massacrar","massacre","massacres","nomlex",NA,""
"mastigar","mastigador","mastigadores","","agent",""
"mastigar","mastigação","mastigações","enwiktionary:en",NA,""
"masturbar","masturbador","masturbadores","enwiktionary:pt","agent",""
"masturbar","masturbação","masturbações","enwiktionary:pt",NA,""
"matar","matador","matadores","nomlex","agent",""
"matar","matança","matanças","nomage: abattage",NA,""
"matricular","matrícula","matrículas","nomlex",NA,""
"maximizar","maximizador",NA,NA,"agent",""
"maximizar","maximização","maximizações","nomlex",NA,""
"mecanizar","mecânico",NA,NA,"agent",""
"mecanizar","mecanização","mecanizações","nomlex",NA,""
"medicar","médico","médicos",NA,"agent",""
"medicar","medicação","medicações","nomlex",NA,""
"medir","medidor","medidores",NA,"agent",""
"medir","medida","medidas","nomlex",NA,""
"melhorar","melhora","melhoras","nomlex",NA,""
"melhorar","melhoramento","melhoramentos","nomlex",NA,""
"melhorar","melhoria","melhorias","nomlex",NA,""
"mencionar","menção","menções","nomlex",NA,""
"mentir","mentira","mentiras","framenet",NA,""
"merendar","merenda","merendas","nomage: grignotage",NA,""
"mergulhar","mergulhador","mergulhadores",NA,"agent",""
"mergulhar","mergulho","mergulhos","nomage: plongée",NA,""
"migrar","migração","migrações","nomlex",NA,""
"militar","militar",NA,"dhbb",NA,NA
"militar","militante",NA,"dhbb","agent",NA
"minerar","mineiro","mineiros","framenet","agent; other",""
"ministrar","ministro","ministros","nomlex","lex",""
"ministrar","ministério",NA,"dhbb",NA,NA
"misturar","mistura",NA,"openWordnet-PT",NA,NA
"mobiliar","mobiliário",NA,NA,"agent",""
"mobiliar","mobília","mobílias","nomage: fourniture",NA,""
"mobilizar","mobilização","mobilizações","nomlex",NA,""
"modelar","modelo","modelos","nomlex","other; lex",""
"moderar","moderador","moderadores",NA,"agent",""
"moderar","moderação","moderações","nomlex",NA,""
"modernizar","modernização","modernizações","nomlex",NA,""
"modificar","modificação","modificações","nomlex",NA,""
"modular","modulador","moduladores",NA,"agent",""
"modular","modulação","modulações","nomlex",NA,""
"moldar","moldura",NA,"openWordnet-PT",NA,NA
"monopolizar","monopólio",NA,"dhbb",NA,NA
"montar","montadora",NA,NA,"agent",""
"montar","montagem","montagens","nomlex","lex",""
"morder","mordedura",NA,"openWordnet-PT",NA,NA
"morrer","morte",NA,"dhbb",NA,NA
"mostrar","mostrador","mostradores",NA,"agent",""
"mostrar","mostra","mostras","nomlex","lex",""
"mostrar","mostruário","mostruários","framenet",NA,""
"motivar","motivação","motivações","nomlex",NA,""
"motivar","motivo",NA,"dhbb",NA,NA
"mover","movimento","movimentos","nomlex",NA,""
"mudar","muda","mudas","enwiktionary:en",NA,""
"mudar","mudança","mudanças","nomlex",NA,""
"multar","multa","multas","framenet",NA,""
"multiplicar","multiplicação","multiplicações","nomlex",NA,""
"nacionalizar","nacionalização",NA,"dhbb",NA,NA
"navegar","navegador",NA,NA,"agent",""
"navegar","navegação","navegações","nomlex",NA,""
"necessitar","necessidade","necessidades","nomlex",NA,""
"negar","negação","negações","nomlex",NA,""
"negociar","negociante","negociantes","nomlex","agent",""
"negociar","negociação","negotiações","nomlex",NA,""
"negociar","negócio","negócios","nomage: négociation",NA,""
"nevar","nevada","nevadas","framenet",NA,""
"nivelar","nivelador","niveladores",NA,"agent",""
"nivelar","nivelamento","nivelamentos","nomage: nivellement",NA,""
"nivelar","nível",NA,"dhbb",NA,NA
"noivar","noivo",NA,NA,"agent",""
"noivar","noivado","noivados","nomlex",NA,""
"nomar","norma",NA,"dhbb",NA,NA
"nomear","nomeado","nomeados","nomlex","agent",""
"nomear","nomeação",NA,"dhbb",NA,NA
"nomear","nome",NA,"dhbb",NA,NA
"nominar","nominação","nominações","nomlex",NA,""
"normalizar","normalização","normalizações","nomage: normalisation",NA,""
"noticiar","notícia",NA,"dhbb",NA,NA
"notificar","notificação","notificações","nomlex",NA,""
"numerar","número",NA,"dhbb",NA,NA
"objetar","objeção","objeções","nomlex",NA,""
"objetivar","objetivo",NA,"dhbb",NA,NA
"obrigar","obrigação","obligações","nomlex",NA,""
"observar","observador","observadores","nomlex","agent",""
"observar","observação","observações","nomlex",NA,""
"observar","observância","observâncias","nomlex",NA,""
"observar","observatório","observatórios","enwiktionary:pt",NA,""
"obsessar","obsessivo",NA,NA,"agent",""
"obsessar","obsessão","obsessões","nomlex",NA,""
"obstinar","obstinação","obstinações","nomage: entêtement",NA,""
"obstruir","obstruidor",NA,NA,"agent",""
"obstruir","obstrutor",NA,NA,"agent",""
"obstruir","obstrução","obstruções","framenet",NA,""
"obter","obtenção","obtenções","nomage: obtention",NA,""
"ocupar","ocupação","ocupações","nomlex",NA,""
"ofender","ofensa","ofensas","framenet",NA,""
"oferecer","oferecimento","oferecimentos","nomlex",NA,""
"oferecer","oferta","ofertas","nomlex",NA,""
"olhar","olhar","olhares","nomlex",NA,""
"omitir","omissão","omissões","nomlex",NA,""
"operar","operador","operadores",NA,"agent",""
"operar","operação","operações","nomlex",NA,""
"opinar","opinião","opiniões","nomlex",NA,""
"opor","opositor","opositores",NA,"agent",""
"opor","oposição","oposições","nomlex",NA,""
"opor","oposicionista",NA,"dhbb","agent",NA
"oprimir","opressor",NA,NA,"agent",""
"oprimir","opressão","opressões","nomlex",NA,""
"optar","opção","opções","nomlex",NA,""
"orar","oratório","oratórios","nomlex",NA,""
"orçar","orçamento","orçamentos","nomage: budgétisation",NA,""
"ordenar","ordenação","ordenações","nomlex",NA,""
"ordenar","ordenamento","ordenamentos","nomlex",NA,""
"ordenar","ordem",NA,"dhbb",NA,NA
"organizar","organizador","organizadores","enwiktionary:pt","agent",""
"organizar","organização","organizações","nomlex",NA,""
"orientar","orientador","orientadores","nomlex","agent",""
"orientar","orientação","orientações","nomlex",NA,""
"originar","origem",NA,"dhbb",NA,NA
"ossificar","ossificação","ossificações","nomlex",NA,""
"ostentar","ostentação","ostentações","nomlex",NA,""
"outorgar","outorgador","outorgadores","","agent",""
"outorgar","outorgante",NA,NA,"agent",""
"outorgar","outorga","outorgas","nomlex",NA,""
"oxidar","oxidação","oxidações","nomlex",NA,""
"ozonizar","ozonização","ozonizações","enwiktionary:en",NA,""
"pacientar","paciência","paciências","nomlex",NA,""
"pacificar","pacificador","pacificadores",NA,"agent",""
"pacificar","pacificação","pacificações","nomlex",NA,""
"padecer","padecimento","padecimentos","nomlex",NA,""
"pagar","pagador","pagadores","nomlex","agent",""
"pagar","pagamento","pagamentos","nomlex",NA,""
"paginar","página","páginas",NA,NA,""
"paginar","paginação","paginações","nomage: pagination",NA,""
"parabenizar","parabéns",NA,"enwiktionary:pt",NA,""
"parcelar","parcelamento","parcelamentos","nomage: parcellisation",NA,""
"participar","participante","participantes","nomlex","agent",""
"participar","participação","participações","nomlex",NA,""
"partilhar","partilha","partilhas","nomlex",NA,""
"partir","partição","partições","nomlex",NA,""
"partir","partida","partidas","nomlex",NA,""
